16m 51s (- 13475m 58s) (100 0%) , val_unseen , nav_error: 9.115, oracle_error: 5.663, steps: 29.329, lengths: 11.186, success_rate: 0.172, oracle_rate: 0.282, spl: 0.151, val_seen , nav_error: 9.814, oracle_error: 6.080, steps: 30.764, lengths: 11.551, success_rate: 0.179, oracle_rate: 0.277, spl: 0.159
39m 9s (- 15624m 26s) (200 0%) , val_unseen , nav_error: 12.471, oracle_error: 4.362, steps: 56.957, lengths: 24.493, success_rate: 0.088, oracle_rate: 0.465, spl: 0.037, val_seen , nav_error: 13.194, oracle_error: 4.805, steps: 56.512, lengths: 23.929, success_rate: 0.085, oracle_rate: 0.433, spl: 0.041
61m 42s (- 16395m 34s) (300 0%) , val_unseen , nav_error: 11.037, oracle_error: 5.087, steps: 42.275, lengths: 16.466, success_rate: 0.118, oracle_rate: 0.370, spl: 0.087, val_seen , nav_error: 10.713, oracle_error: 5.232, steps: 41.880, lengths: 16.230, success_rate: 0.125, oracle_rate: 0.369, spl: 0.094
80m 55s (- 16103m 54s) (400 0%) , val_unseen , nav_error: 8.836, oracle_error: 6.192, steps: 22.695, lengths: 7.789, success_rate: 0.148, oracle_rate: 0.215, spl: 0.139, val_seen , nav_error: 8.967, oracle_error: 6.506, steps: 23.893, lengths: 8.178, success_rate: 0.159, oracle_rate: 0.205, spl: 0.150
97m 46s (- 15545m 17s) (500 0%) , val_unseen , nav_error: 8.246, oracle_error: 5.380, steps: 22.326, lengths: 8.915, success_rate: 0.257, oracle_rate: 0.332, spl: 0.239, val_seen , nav_error: 8.065, oracle_error: 5.466, steps: 23.545, lengths: 9.254, success_rate: 0.274, oracle_rate: 0.351, spl: 0.259
113m 31s (- 15023m 9s) (600 0%) , val_unseen , nav_error: 8.597, oracle_error: 5.421, steps: 25.515, lengths: 9.321, success_rate: 0.252, oracle_rate: 0.332, spl: 0.231, val_seen , nav_error: 8.499, oracle_error: 5.560, steps: 27.157, lengths: 9.639, success_rate: 0.265, oracle_rate: 0.345, spl: 0.251
128m 40s (- 14577m 39s) (700 0%) , val_unseen , nav_error: 8.221, oracle_error: 5.304, steps: 22.361, lengths: 9.009, success_rate: 0.269, oracle_rate: 0.343, spl: 0.250, val_seen , nav_error: 7.800, oracle_error: 5.302, steps: 23.317, lengths: 9.205, success_rate: 0.305, oracle_rate: 0.371, spl: 0.289
144m 18s (- 14286m 47s) (800 1%) , val_unseen , nav_error: 8.358, oracle_error: 5.106, steps: 24.457, lengths: 9.830, success_rate: 0.278, oracle_rate: 0.375, spl: 0.250, val_seen , nav_error: 7.738, oracle_error: 5.050, steps: 25.791, lengths: 9.995, success_rate: 0.318, oracle_rate: 0.398, spl: 0.297
162m 34s (- 14289m 5s) (900 1%) , val_unseen , nav_error: 9.153, oracle_error: 4.793, steps: 31.518, lengths: 12.351, success_rate: 0.214, oracle_rate: 0.417, spl: 0.175, val_seen , nav_error: 8.642, oracle_error: 4.522, steps: 33.465, lengths: 12.733, success_rate: 0.253, oracle_rate: 0.442, spl: 0.216
178m 0s (- 14062m 53s) (1000 1%) , val_unseen , nav_error: 8.138, oracle_error: 5.190, steps: 22.077, lengths: 9.174, success_rate: 0.272, oracle_rate: 0.359, spl: 0.251, val_seen , nav_error: 8.007, oracle_error: 5.282, steps: 23.716, lengths: 9.330, success_rate: 0.294, oracle_rate: 0.357, spl: 0.278
192m 48s (- 13829m 56s) (1100 1%) , val_unseen , nav_error: 7.969, oracle_error: 5.214, steps: 24.776, lengths: 8.825, success_rate: 0.281, oracle_rate: 0.353, spl: 0.262, val_seen , nav_error: 7.943, oracle_error: 5.399, steps: 25.965, lengths: 9.091, success_rate: 0.294, oracle_rate: 0.350, spl: 0.279
208m 0s (- 13659m 24s) (1200 1%) , val_unseen , nav_error: 8.033, oracle_error: 5.181, steps: 23.685, lengths: 9.002, success_rate: 0.282, oracle_rate: 0.355, spl: 0.263, val_seen , nav_error: 7.706, oracle_error: 5.205, steps: 24.727, lengths: 9.268, success_rate: 0.312, oracle_rate: 0.376, spl: 0.297
224m 23s (- 13584m 6s) (1300 1%) , val_unseen , nav_error: 8.744, oracle_error: 4.845, steps: 25.513, lengths: 11.038, success_rate: 0.256, oracle_rate: 0.404, spl: 0.220, val_seen , nav_error: 8.229, oracle_error: 4.741, steps: 27.212, lengths: 11.246, success_rate: 0.286, oracle_rate: 0.435, spl: 0.257
239m 48s (- 13463m 54s) (1400 1%) , val_unseen , nav_error: 8.034, oracle_error: 5.144, steps: 24.240, lengths: 9.103, success_rate: 0.289, oracle_rate: 0.371, spl: 0.267, val_seen , nav_error: 7.711, oracle_error: 5.181, steps: 26.066, lengths: 9.505, success_rate: 0.314, oracle_rate: 0.370, spl: 0.296
255m 21s (- 13364m 1s) (1500 1%) , val_unseen , nav_error: 7.934, oracle_error: 5.083, steps: 21.587, lengths: 9.250, success_rate: 0.299, oracle_rate: 0.370, spl: 0.280, val_seen , nav_error: 7.551, oracle_error: 5.040, steps: 22.647, lengths: 9.485, success_rate: 0.321, oracle_rate: 0.389, spl: 0.304
